B921 PB  5.3400 S 0.22    E  13.80
CLC  CI  3.1900 P 0.02 D  I  14.80
CLC  CI  5.2900 S 0.05    E  14.80
SRT  CI  4.5800 P 0.00 U  I  22.60
CCC  CI  4.8300 P 0.15    E  23.70
CCC  CI  8.7100 S 0.80    E  23.70
TOW2 CI  5.2200 P 0.06 U  I  26.30
B918 PB  4.8100 P 0.10    E  26.90
B918 PB  8.4500 S 0.15    E  26.90
SLA  CI  5.0300 P 0.21    E  28.20
SLA  CI  9.1800 S 0.33    E  28.20
WRC2 CI  5.4200 P 0.03 D  I  29.90
WRC2 CI  9.6100 S 0.37    E  29.90
MPM  CI  6.7900 P 0.03    E  38.90
MPM  CI 12.1900 S 0.73    E  38.90
B917 PB  6.9300 P 0.04    E  40.00
B917 PB 11.9700 S 0.16    E  40.00
JRC2 CI  7.2100 P 0.00    E  41.30
JRC2 CI 12.3300 S 0.08    E  41.30
B916 PB 16.3100 S 0.23    E  56.00
DTP  CI  9.6900 P 0.10    E  58.00
DTP  CI 16.9300 S 0.30    E  58.00
WHF  CI 12.7700 P 0.00    E  76.80
WHF  CI 22.0100 S 0.32    E  76.80
# 2019 07 04 16 13 43.37  35.7072 -117.4992 10.94  1.50  0.18  0.36  0.15  62  63  31  16         6
B921 PB  2.9600 P 0.04 D  I  13.80
SRT  CI  4.5900 P 0.00 U  I  22.70
B918 PB  4.7800 P 0.13 D  I  27.00
B917 PB  6.9000 P 0.05 D  I  39.90
B921 PB  5.3200 S 0.25    E  13.80
CLC  CI  3.1700 P 0.01 D  I  14.90
CLC  CI  5.6600 S 0.32    E  14.90
SRT  CI  8.5100 S 0.97    E  22.70
CCC  CI  4.8100 P 0.15 D  I  23.60
CCC  CI  8.6000 S 0.73    E  23.60
TOW2 CI  5.1900 P 0.02 U  I  26.40
B918 PB  8.3700 S 0.06    E  27.00
SLA  CI  5.2500 P 0.03    E  28.20
SLA  CI  8.9600 S 0.14    E  28.20
WRC2 CI  5.3900 P 0.06 D  I  30.00
WRC2 CI  9.6100 S 0.36    E  30.00
LRL  CI  5.3300 P 0.12 D  I  30.20
LRL  CI  9.3400 S 0.10    E  30.20
WBM  CI  6.8100 P 0.15 U  I  37.00
WBM  CI 11.8600 S 0.86    E  37.00
MPM  CI  6.7200 P 0.04 D  I  39.00
MPM  CI 11.7700 S 0.31    E  39.00
WVP2 CI  6.8400 P 0.08    E  39.30
